verb|subjects|objects
ἔδω|λέων,γύψ,ὅς,φεύγω,κύων,γύψ,κύων,εὐλή,κύων,Ζεύς,ὅς,γύψ,ἐγώ,ὁ,ἵππος,ἐγώ,ὅς,ὅς,ὅς,βασιλεύς,κύων,γύψ,ὁ,ὁ,Ποσειδεών,μένος,θυμός,ὅς,ἀπάλαλκε,Πρίαμος,ἔδω,πίνω,ἀνήρ,Αἴας,ὅς,ἐγώ,ἐκεῖνος,θεός,γύψ,ὁ,ἐγώ,ἀνήρ,μνηστήρ,συβώτης,ὁ,ὅς,συβώτης,ὁ,θυμός,ἡγήτωρ,ἐγώ,ὅσος,ἐγώ,ἀνήρ,Κύκλωψ,ὀστέον,κῦμα,ὁ,Κίρκη,ὗς,ἀνήρ,μνηστήρ,ἄλλος,οἰκεύς,ὁ,χήν,εἰμί,ὅς,ἔδω,θεός,ἀνήρ,ὁ,Ἑρμῆς,νύμφη,ἀνήρ,ὅς,ὁ,ἶψ,ἄναξ,ὁ,Κίρκη,ὗς,ἐγώ,ὁ,πονέω,ταμία,ἄλλος,ἐγώ,ἄλλος,γυνή,βασιλεύς,μῦθος,αὐτός,ἐγώ,κῆρ,ὅς|δίφρος,ἔναρα,ταῦρος,σύ,Ἴλιος,πολύς,μιν,σύ,ψευδής,ὅρκιον,χρώς,ἄλοχος,τέκνον,πτολίεθρον,κλισία,ἵππος,φάτνη,πυρός,εἰμί,σύ,φύλλον,καρπός,μήτηρ,μυελός,δημός,καρπός,πεῖραρ,σῖτος,οἶνος,Λυκία,μῆλον,οἶνος,ἕ,βοῦς,μέσος,βοῦς,ἵππος,ὄχος,εἶδαρ,ἐγώ,κρέας,ἔδω,οἷος,κύων,κεφαλή,ἄποινα,ἐνθάδε,ἄλλος,σύ,ἐρύω,κρέας,κύπελλον,ἵππος,φορβή,ἔδω,ἀνήρ,ἀκτή,καρδία,σῖτος,εὐνή,Οὖτις,ἄλλος,βίοτος,κτῆμα,νόος,ὅς,ἕ,στῆθος,σύ,οἶκος,δαίς,κτῆμα,οἶκος,ἑταῖρος,εἰμί,σῖτος,ἀνήρ,κῆρυξ,θυμός,ὁ,ἄριστος,ἕκαστος,ἄναξ,βίοτος,ὁ,πίναξ,ὅς,σῖτος,οἶνος,οἶκος,αὐτός,μέγαρον,δαίς,κτῆμα,οἶκος,εἰμί,σῖτος,θυμός,σῖτος,ποτής,ἑταῖρος,εἰμί,σῖτος,ἀνήρ,κῆρυξ,θυμός,βρώμη,ποτής,νηδύς,κρέας,γάλα,οὗτος,βίοτος,ὄμβρος,ἤπειρος,ἅλς,ὁ,ἄκυλος,βάλανος,καρπός,οἷος,μνηστήρ,ἐρετμόν,ὁ,θάλασσα,ἅλς,εἶδαρ,ὗς,ὄπις,ἐλεητύς,κάματος,ὁ,βοῦς,ὄις,αἴξ,οἶνος,βίοτος,πυρός,σφεῖς,οἶκος,ἄστυ,ἔρχομαι,χείρ,ἐρετμόν,ὁ,θάλασσα,ἅλς,εἶδαρ,σπέος,θρόνον,ἔνθεν,ἐδωδή,οἷος,γαῖα,εἶδαρ,ἐγώ,ἕπομαι,ἑταῖρος,ἐγώ,θνήσκω,ὁράω,γυνή,δῶμα,σῖτος,τόξον,κέρας,ἔδω,ὁ,ἄκυλος,βάλανος,καρπός,οἷος,ἄναξ,ἄλλος,ὗς,εἷμα,ἐνθάδε,σῖτος,σύ,ἑταῖρος,ὁ,μοῖρα,σῖτος,ὁ,ἀγινέω,σφεῖς,ἑταῖρος,ἔδω,βίοτος,σῖτος,οἶνος,ὄψον,οἷος,σύ,ζώω,ἔχω,πατρώιος,χρῆμα,οἶκος,γυνή,παῖς,ἐγώ,ὅσος,σύ,ἐκπίνω,ἔδω,τιμή,χαλκός,χρυσός,μνηστήρ,οἶκος,κτῆμα,παῖς
μεθομιλέω|ἐγώ|ὁ
ἁφάω||ὁ,τόξον
μειλίσσω|φειδώ|ἐγώ,ἐγώ,ἀντάω,ὀπωπή,ἐγώ,ἐγώ,ἀντάω,ὀπωπή
χάζω|Ἀχαιός,Ἀχαιός,Δαναοί,ὁ,ὁ,ὁ,ὁ,χείρ,Ἀργεῖος,Ἄρης,Ἀχαιός,ἥρως,Μηριόνης,αἰγυπιός,ὅς,τις,Ἕκτωρ,βέλος,Πάτροκλος,̓ἀλέξανδρος,ἦτορ,Τρώς,Τρώς,φῦλον,ὁ,Ἀχαιός,Τρώς,Ἀχαιός,Ζεύς,ἐγώ,ὅς,σφήξ,μέλισσα,ὁ,ὁ,θυμός,τόξον,θνήσκω,ἔπος,τόξον,σύ|μάχη,υἱός,μιν,τεῦχος,τις,νεκρός,χάζω,τις,προμάχομαι,βαίνω,μάχομαι,κέλευθος,Μαχάων,ὦμος,κέλευθος,ἔπαλξις,δάιος,τεῖχος,κυδοιμός,Δαναοί,δόρυ,βέλος,πέτρος,ὁ,φώς,βέλος,ἡνία,ἦτορ,ναῦς,ὀπίσω,ἐγώ,σφεῖς,ἔγχος,ἐγώ,ἔθνος,κήρ,Δαναοί,ἔθνος,νίκη,ἔγχος,ὅς,βραχίων,ἔγχος,ἄψ,ἔθνος,ἄψ,ἔθνος,κήρ,ἄψ,ἔθνος,κήρ,χείρ,σάκος,πρό,χαλκός,ἐλαύνω,ἄψ,ἔθνος,κήρ,χρώς,ἐκφεύγω,χείρ,ἔθνος,κήρ,πληγή,δόρυ,ἔθνος,κήρ,ὁ,ἔθνος,κήρ,ἀνήρ,ἀνήρ,νεκρός,ἔναρα,θεός,φρονέω,ὁ,θυμός,ψυχή,τεῦχος,νεκρός,ὁ,μάρναμαι,ὁπότερος,κῦδος,μῆνις,οἰκίον,ὁδός,δόμος,ἀνήρ,τέκνον,πύλη,χάζω,κῦδος,αἴρω,ἀριστεύς,θυμός,ψυχή,ὁμιλέω,σύ,ἕρκος,ἀριστεύς,θυμός,ψυχή,τανύω
ἀρθμέω||ἔρις
μυθολογεύω|μυθολογεύω|ἐγώ,ἐρῶ,σύ,ὅδε
τρώγω||ὁ,ποταμός,τρώγω,ἄγρωστις
ἐξαπόλλυμι|κειμήλιον,κτῆμα,Ζεύς,τις,μήτηρ,ὅς,πᾶς,ἠέλιος,ἀχλύς|δόμος,Φρύγιος,Μῃονίη,ὄλεθρος,χείρ,ὅς,γαστήρ,Ἴλιος,οὐρανός
ἐξερωέω|μιν,ὁ,μένος|ἐκπίπτω,ἅρμα,ἄγνυμι,θυμός
