word|function|count
ἔδω|subj|5
χήν|subj|5
δρόμος|subj|5
Ἀιδωνεύς|subj|5
ἔκβασις|subj|5
ἀδελφός|subj|5
πίθος|subj|5
εὐεργεσία|subj|5
μέτωπον|subj|5
πολύφρων|subj|5
ἕξ|subj|5
Δόλων|subj|5
μέγας|subj|5
Χρομίος|subj|5
ὀλοοίτροχος|subj|5
Ἥβη|subj|5
Μυσός|subj|5
Σελλοί|subj|5
πρόβατον|subj|5
Βοιωτός|subj|5
ναίω|subj|5
Φυλώ|subj|5
αἴας|subj|5
ὁμίχλη|subj|5
παρήιον|subj|5
πυνθάνομαι|subj|5
ἐσθλός|subj|5
ἀράομαι|subj|5
διογενής|subj|5
χαράδρα|subj|5
Αἶσα|subj|5
κυβιστητήρ|subj|5
ἀροτήρ|subj|5
αὐλός|subj|5
πινυτή|subj|5
παρεξέρχομαι|subj|5
ἁλιόω|subj|5
Κυλλοποδίων|subj|5
βούβρωστις|subj|5
αἴξ|subj|5
πείθω|subj|5
πτωσκάζω|subj|5
ἄστυ|subj|5
συφορβός|subj|5
ἀμφασίη|subj|5
ναύτης|subj|5
φαρέτρα|subj|5
ἐρετμόν|subj|5
κανών|subj|5
εἴδωλον|subj|5
πρότερος|subj|5
μυών|subj|5
Ῥαδάμανθυς|subj|5
βιοτή|subj|5
ἐποτρύνω|subj|5
κατερύκω|subj|5
Μεσαύλιος|subj|5
Λαομέδων|subj|5
ἅπτω|subj|5
ἀγαθός|subj|5
Ἐνιῆνες|subj|5
Περαιβοί|subj|5
Εὔνηος|subj|5
στέμμα|subj|5
ἄω|subj|5
ῥιπή|subj|5
καταθάπτω|subj|5
ἕννυμι|subj|5
ἀφαυρός|subj|5
Ἄρητος|subj|5
σχεδία|subj|5
θώς|subj|5
ὁρμάω|subj|5
Λαοθόη|subj|5
ἐνίσσω|subj|5
γονή|subj|5
Μελανθώ|subj|5
ἔθειρα|subj|5
γλῶσσα|subj|5
λίσσομαι|subj|5
Τυρώ|subj|5
Μυκήνη|subj|5
ἱππόδρομος|subj|5
τόκος|subj|5
ἄξων|subj|5
πτερόν|subj|5
Ἄδρηστος|subj|5
σῖτος|subj|5
δάιος|subj|5
ἄλσος|subj|5
ἰτέα|subj|5
χορός|subj|5
Πέλοψ|subj|5
Ἀτρεύς|subj|5
ἀκομιστία|subj|5
ἀλύσκω|subj|5
̓ἰδομενεύς|subj|5
Οὖτις|subj|5
θράσος|subj|5
ῥίζα|subj|5
ὄζος|subj|5
βοητύς|subj|5
τυδείδης|subj|5
Αἰγιάλεια|subj|5
τέταρτος|subj|5
βουκόλος|subj|5
εὐκτός|subj|4
κονίσαλος|subj|4
Κήρ|subj|4
νευρή|subj|4
μενεαίνω|subj|4
Περιμήδης|subj|4
αἰσυμνήτης|subj|4
γέφυρα|subj|4
Ἑλλήσποντος|subj|4
μηρός|subj|4
κλισία|subj|4
μάρναμαι|subj|4
φείδομαι|subj|4
κῦδος|subj|4
ἐριούνιος|subj|4
ὀμφαλός|subj|4
ὀβριμοπάτρη|subj|4
τάφος|subj|4
Φόβος|subj|4
Ὥρα|subj|4
Ἑωσφόρος|subj|4
πυρκαιά|subj|4
ἀλέομαι|subj|4
Κεβριόνης|subj|4
Κόων|subj|4
νοέω|subj|4
κινέω|subj|4
ἀναείρω|subj|4
ἀστός|subj|4
Μελέαγρος|subj|4
γηθέω|subj|4
ἀχεύω|subj|4
ῥῖγος|subj|4
φύλλον|subj|4
κλοτοπεύω|subj|4
διατρίβω|subj|4
Κουρῆτες|subj|4
Αἰτωλός|subj|4
Κήτειοι|subj|4
ἐλάτη|subj|4
κελεύω|subj|4
σπλάγχνον|subj|4
Ὡρα|subj|4
ἅψος|subj|4
οἰκεύς|subj|4
ἶψ|subj|4
πυρά|subj|4
γείτων|subj|4
στεφάνη|subj|4
τρίχα|subj|4
Ἰθακήσιος|subj|4
τίσις|subj|4
Δόλοψ|subj|4
λάμπος|subj|4
Πριαμίδης|subj|4
ἐρῆμος|subj|4
χεῖλος|subj|4
Εὐχήνωρ|subj|4
αἶνος|subj|4
ὑποκρίνομαι|subj|4
πάγος|subj|4
ἐκφεύγω|subj|4
Δαρδανίς|subj|4
ἄμητος|subj|4
στρατός|subj|4
Λήιτος|subj|4
Ἀρκεσίλαος|subj|4
Προθοήνωρ|subj|4
Κλονίος|subj|4
πόρκης|subj|4
καναχή|subj|4
εἰλαπίνη|subj|4
ὑμέναιος|subj|4
ῥαθάμιγξ|subj|4
Τροία|subj|4
ὄνος|subj|4
βῶλος|subj|4
ποθέω|subj|4
ʽἑκάεργος|subj|4
κλίσιον|subj|4
ἀμηχανία|subj|4
πάρδαλις|subj|4
κήξ|subj|4
Ἀλκιμέδων|subj|4
σελήνη|subj|4
θαλπωρή|subj|4
φύξιμος|subj|4
ὄχθη|subj|4
ἔπαλξις|subj|4
μέλω|subj|4
ἀποτίθημι|subj|4
σηκός|subj|4
ἐρεύθω|subj|4
ἀρχή|subj|4
πόα|subj|4
δετή|subj|4
πυρσός|subj|4
κάπρος|subj|4
ἀνέχω|subj|4
Χρύσης|subj|4
Ὑψιπύλη|subj|4
κίθαρις|subj|4
Ἀστεροπαῖος|subj|4
γάλοως|subj|4
εἰνάτερες|subj|4
ἄριστον|subj|4
ζώω|subj|4
Ἄβας|subj|4
ἧμαι|subj|4
ἀλαλητός|subj|4
ἠλέκτωρ|subj|4
βάλλω|subj|4
κλύδων|subj|4
βουληφόρος|subj|4
μυρίος|subj|4
σκόλοψ|subj|4
καθάπτω|subj|4
ἄνωγα|subj|4
μενέλαος|subj|4
ἴουλος|subj|4
γένυς|subj|4
Κάστωρ|subj|4
Κλῶθες|subj|4
ἁλίσκομαι|subj|4
βαίνω|subj|4
πειράω|subj|4
ὄνειδος|subj|4
Φιλοκτήτης|subj|4
πάτος|subj|4
κυνηγέτης|subj|4
ῥωχμός|subj|4
Εὔμαιος|subj|4
αἰχμητής|subj|4
